c-0         ,c-1                        ,c-2                  ,c-3         ,c-4 ,c-5                             ,c-6                         ,c-7 ,c-8                ,c-9       ,c-10                    ,c-11     ,c-12                 ,c-13 ,c-14       ,c-15 ,c-16                                ,c-17                                 ,c-18                      ,c-19 ,c-20                                            ,c-21 ,c-22       ,c-23                               ,c-24                       ,c-25        ,c-26 ,c-27                      ,c-28                      ,c-29         ,c-30 ,c-31 ,c-32                      ,c-33    ,c-34 ,c-35        ,c-36                               ,c-37         ,c-38 ,c-39 ,c-40                                 ,c-41 ,c-42 ,c-43                      ,c-44     ,c-45                        ,c-46 ,c-47                       ,c-48 ,c-49                        ,c-50                       ,c-51 ,c-52                   ,c-53                     ,c-54           ,c-55                              ,c-56                   ,c-57
   13608000 ,                         0 ,      88268019840000 ,          0 ,  0 ,                              0 ,                          0 , 27 ,                 0 ,        0 ,                      0 ,       0 ,                   0 ,   0 ,         0 ,   0 ,                                  0 ,                                   0 ,                        0 ,   0 ,                                              0 ,  45 ,   1360800 ,                                 0 ,                         0 ,          0 ,   0 ,                        0 ,                        0 ,           0 ,   0 ,   0 ,                        0 ,      0 , 810 ,    5443200 ,                                 0 ,           0 ,   0 ,   0 ,                                   0 ,   0 ,   0 ,                        0 ,   15120 ,                          0 ,   0 ,                         0 ,   0 ,                          0 ,                         0 ,   0 ,       988601822208000 ,                       0 ,             0 ,                                0 ,                     0 ,                         0
          0 ,                         0 ,                   0 ,          0 ,  0 ,                              0 ,                          0 , 16 ,                 0 ,        0 ,                      0 ,       0 ,                   0 ,   0 ,         0 ,   0 ,                                  0 ,                                   0 ,                        0 ,   0 ,                                              0 ,   0 ,         0 ,                                 0 ,                         0 ,          0 ,   0 ,                        0 ,                        0 ,           0 ,   0 ,   0 ,                        0 ,      0 ,   0 ,          0 ,                                 0 ,           0 ,   0 ,   0 ,                                   0 ,   0 ,   0 ,                        0 ,      96 ,                          0 ,   0 ,                         0 ,   0 ,                          0 ,                         0 ,   0 ,                     0 ,                       0 ,             0 ,                                0 ,                     0 ,                         0
     187200 ,                         0 ,                   0 , 1729728000 ,  0 ,                              0 ,                          0 , 30 ,                 0 ,        0 ,                      0 ,       0 ,                   0 ,   0 ,         0 ,   0 ,                                  0 ,                                   0 ,                        0 ,   0 ,                                              0 ,  20 ,     57600 ,                                 0 ,                         0 ,          0 ,   0 ,                        0 ,                        0 ,597793996800 , 180 ,   0 ,                        0 ,      0 , 480 ,     172800 ,                                 0 ,      280800 ,   0 ,   0 ,                                   0 ,   0 ,   0 ,                        0 ,    4680 ,                          0 ,   0 ,                         0 ,   0 ,                          0 ,                         0 ,   0 ,                     0 ,                       0 ,             0 ,                                0 ,                     0 ,                         0
 2281144320 ,          2134124568576000 ,                   0 ,          0 ,  0 ,4286576634540892354510848000000 ,                          0 , 68 ,                 0 ,        0 ,                      0 ,       0 ,                   0 ,   0 ,         0 ,   0 ,                                  0 ,                                   0 ,                        0 ,   0 ,                                              0 ,  64 , 142571520 ,                                 0 ,                         0 ,          0 ,   0 ,                        0 ,                        0 ,           0 ,   0 ,   0 ,                        0 ,      0 ,3264 , 3421716480 ,                                 0 ,           0 ,   0 ,   0 ,                                   0 ,   0 ,   0 ,                        0 ,  228480 ,                          0 ,   0 ,                         0 ,   0 ,                          0 ,                         0 ,   0 ,                     0 ,                       0 ,             0 ,                                0 ,                     0 ,                         0
          0 , 5411691513532130770944000 ,                   0 ,          0 ,  0 ,                              0 ,                          0 ,180 ,                 0 ,        0 ,                      0 ,       0 ,                   0 ,   0 ,         0 ,   0 ,11567977662411147414662184960000000 ,427552454402716008445914356121600000 ,                        0 ,   0 , 2058234095075039642930564143054533427200000000 ,   0 ,         0 ,                                 0 ,                         0 ,          0 ,   0 ,                        0 ,                        0 ,           0 ,   0 ,   0 ,                        0 ,      0 ,   0 ,          0 ,                                 0 ,           0 ,   0 ,   0 ,277631463897867537951892439040000000 ,   0 ,   0 ,                        0 ,53638200 ,                          0 ,   0 ,                         0 ,   0 ,                          0 ,                         0 ,   0 ,                     0 ,                       0 ,             0 ,                                0 ,                     0 ,                         0
          0 ,      26929184103005184000 ,                   0 ,          0 ,  0 ,                              0 , 10857847030331690188800000 ,161 ,                 0 ,        0 ,                      0 ,       0 ,                   0 ,   0 ,         0 ,   0 ,                                  0 ,                                   0 ,                        0 ,   0 ,                                              0 ,   0 ,         0 ,                                 0 ,10857847030331690188800000 ,          0 ,   0 ,2171569406066338037760000 ,2171569406066338037760000 ,           0 , 322 ,   0 ,5428923515165845094400000 ,      0 ,   0 ,          0 ,                                 0 ,           0 ,   0 ,   0 ,                                   0 ,   0 ,   0 ,2171569406066338037760000 ,       0 , 10857847030331690188800000 ,   0 ,43431388121326760755200000 ,   0 , 10857847030331690188800000 ,43431388121326760755200000 ,   0 ,                     0 ,361928234344389672960000 ,  276772446720 ,                                0 ,6463004184721244160000 ,  361928234344389672960000
    2903040 ,                         0 ,                   0 ,          0 ,  0 ,                              0 ,                          0 , 32 ,                 0 ,        0 ,                      0 ,       0 ,                   0 ,   0 ,3344302080 ,   0 ,                                  0 ,                                   0 ,                        0 ,   0 ,                                              0 ,  16 ,    322560 ,                                 0 ,                         0 ,          0 ,   0 ,                        0 ,                        0 ,           0 ,  64 ,   0 ,                        0 ,      0 , 384 ,    1935360 ,                                 0 ,     1451520 , 768 ,   0 ,                                   0 ,   0 ,   0 ,                        0 ,   15120 ,                          0 ,   0 ,                         0 ,   0 ,                          0 ,                         0 ,   0 ,                     0 ,                       0 ,        322560 ,                                0 ,                     0 ,                         0
   44478720 ,                         0 ,                   0 ,          0 ,  0 ,                              0 ,                          0 , 78 ,                 0 ,        0 ,                      0 ,       0 ,                   0 ,   0 ,         0 ,   0 ,                                  0 ,                                   0 ,                        0 ,   0 ,                                              0 ,  18 ,  13899600 ,                                 0 ,                         0 ,          0 ,   0 ,                        0 ,                        0 ,           0 ,   0 ,   0 ,                        0 ,      0 ,1170 ,  444787200 ,                                 0 ,           0 ,   0 ,   0 ,                                   0 ,   0 ,   0 ,                        0 ,   34320 ,                          0 ,   0 ,                         0 ,   0 ,                          0 ,                         0 ,   0 ,                     0 ,                       0 ,             0 ,                                0 ,                     0 ,                         0
          0 ,29486081280888273000960000 ,                   0 ,          0 ,  0 ,                              0 ,                          0 ,282 ,                 0 ,        0 ,                      0 ,       0 ,                   0 ,   0 ,         0 ,   0 ,19238436697025308238845879910400000 ,   610744022127787563137964441600000 ,                        0 ,   0 ,24236939616297580109018952490653057024000000000 ,   0 ,         0 ,                                 0 ,                         0 ,          0 ,   0 ,                        0 ,                        0 ,           0 , 282 ,   0 ,                        0 ,      0 ,   0 ,          0 ,                                 0 ,231931576800 ,   0 ,   0 ,500199354122658014209992877670400000 ,   0 ,   0 ,                        0 ,21403800 ,                          0 ,   0 ,                         0 ,   0 ,                          0 ,                         0 ,   0 ,                     0 ,                       0 ,76073557190400 ,305372011063893781568982220800000 ,                     0 ,                         0
 5233092480 ,       3847026300429312000 ,                   0 ,          0 ,  0 ,                              0 ,                          0 , 69 ,                 0 ,        0 ,                      0 ,       0 ,                   0 ,   0 ,         0 ,   0 ,           232668150649964789760000 ,           2326681506499647897600000 ,                        0 ,   0 ,                                              0 ,  12 ,  96909120 ,      1340168547743797189017600000 ,                         0 ,          0 ,   0 ,                        0 ,                        0 ,           0 ,   0 ,   0 ,                        0 ,      0 , 552 , 1744364160 ,      1340168547743797189017600000 ,           0 ,   0 ,   0 ,            465336301299929579520000 ,   0 ,   0 ,                        0 , 1275120 ,                          0 ,   0 ,                         0 ,   0 ,                          0 ,                         0 ,   0 ,                     0 ,                       0 ,             0 ,                                0 ,                     0 ,                         0
